year,month,inflation
1941,12,0.099290780141844
1942,1,0.11347517730496452
1942,2,0.1205673758865249
1942,3,0.12676056338028174
1942,4,0.12587412587412591
1942,5,0.13194444444444448
1942,6,0.1088435374149661
1942,7,0.11564625850340132
1942,8,0.10738255033557044
1942,9,0.0927152317880795
1942,10,0.0915032679738561
1942,11,0.09090909090909093
1942,12,0.0903225806451612
1943,1,0.07643312101910824
1943,2,0.06962025316455682
1943,3,0.07499999999999996
1943,4,0.08074534161490665
1943,5,0.07361963190184044
1943,6,0.07361963190184044
1943,7,0.06097560975609757
1943,8,0.048484848484848526
1943,9,0.05454545454545446
1943,10,0.04191616766467062
1943,11,0.03571428571428559
1943,12,0.02958579881656805
1944,1,0.02958579881656805
1944,2,0.02958579881656805
1944,3,0.011627906976744146
1944,4,0.0057471264367816915
1944,5,0
1944,6,0.005714285714285796
1944,7,0.01724137931034487
1944,8,0.02312138728323691
1944,9,0.01724137931034487
1944,10,0.01724137931034487
1944,11,0.01724137931034487
1944,12,0.02298850574712656
1945,1,0.02298850574712656
1945,2,0.02298850574712656
1945,3,0.02298850574712656
1945,4,0.017142857142857182
1945,5,0.022857142857142777
1945,6,0.028409090909090908
1945,7,0.022598870056497296
1945,8,0.022598870056497296
1945,9,0.022598870056497296
1945,10,0.022598870056497296
1945,11,0.022598870056497296
1945,12,0.02247191011235947
1946,1,0.02247191011235947
1946,2,0.0168539325842697
1946,3,0.028089887640449437
1946,4,0.03370786516853921
1946,5,0.03351955307262578
1946,6,0.03314917127071811
1946,7,0.09392265193370161
1946,8,0.11602209944751368
1946,9,0.12707182320441973
1946,10,0.149171270718232
1946,11,0.17679558011049717
1946,12,0.18131868131868137
1947,1,0.18131868131868137
1947,2,0.18784530386740322
1947,3,0.19672131147540972
1947,4,0.19021739130434784
1947,5,0.1837837837837837
1947,6,0.17647058823529416
1947,7,0.12121212121212113
1947,8,0.11386138613861391
1947,9,0.12745098039215694
1947,10,0.10576923076923073
1947,11,0.08450704225352115
1947,12,0.08837209302325574
1948,1,0.10232558139534881
1948,2,0.09302325581395349
1948,3,0.06849315068493152
1948,4,0.08675799086758001
1948,5,0.09132420091324202
1948,6,0.09545454545454551
1948,7,0.09909909909909907
1948,8,0.08888888888888889
1948,9,0.06521739130434782
1948,10,0.060869565217391244
1948,11,0.047619047619047526
1948,12,0.029914529914530037
1949,1,0.012658227848101297
1949,2,0.012765957446808541
1949,3,0.017094017094017186
1949,4,0.004201680672268818
1949,5,-0.004184100418409953
1949,6,-0.00829875518672211
1949,7,-0.028688524590163907
1949,8,-0.028571428571428543
1949,9,-0.024489795918367405
1949,10,-0.028688524590163907
